$100,000 Pyramid (1988);$100000P
Mega Force 2 (1995);MegaFor2
Megafortress (1991);megafort
Mega lo Mania (1992);megaloma
Mega Man (1990);MegaMan
Mega Man 3 - The Robots are Revolting (1992);MegaMan3
Mega Man X (1995);MegaManX
Mega Math (1992);MegaMath
MegaMorph (1997);MegaMorp
Megaopoly (1986);Megaopol
Megapede (1992);Megapede
Mega Phoenix (1992);MegaPhoe
MegaRace 2 (1996);MegaRac2
MegaRace (1993);MegaRace
MegaTraveller 1 - The Zhodani Conspiracy (1990);MegaTra1
MegaTraveller 2 - Quest for the Ancients (1991);MegaTra2
Megatron VGA (1993);Megatron
Melita Adventure I & II (1990);MelitaAd
Mel Odius goes Six String Searchin' (1992);MelOdius
Meltdown (1995);Meltdown
Memory Castle (1984);MemCastl
Memory (1983);Memory83
Memory Hog Hunter (1988);MemoryH
Menace (1989);Menace
Men in War (1991);MenInWar
Menace of Dr. Spoil Sport (1992);MenoDrSS
Man Enough (1994);menough
Mental Blocks (1989);mentblok
Menzoberranzan (1994);menzo
Mephisto Genius 2.0 (1993);MephistG
MER Adventure Climbing (1995);MERAdvCl
Merchant Colony (1991);mercolon
Merchant Prince (1993);mercprin
Mercy (1997);mercyif
Meridian Gravitas (1994);MeriGrav
Merlin (1995);Merlin95
Merlin Challenge (1993);MerlinCh
Metal Gear (1990);MetalGea
Metal and Lace - The Battle of the Robo Babes (1993);MetalLac
Metal Mutant (1991);MetalMut
Metal Rage - Defender of the Earth (1996);MetalRag
Metal Saver (1994);MetalSav
Meteor (1981);Meteor81
Meteor Mission (1995);MeteorMi
Meteor Rescue (1996);MeteorRe
Meteors (1989);Meteors
Meteor Storm (1997);MeteorSt
Metaltech Battledrome (1994);MetltecB
Metaltech Earthsiege (1994);MetltecE
Metropolis (1987);metropo
Many Faces of Go, The (1991);MFofGo
Mystery Fun House (1981);mfunh
Manhunter 1 - New York (1988);MH1
Manhunter 2 - San Francisco (1989);MH2
MH28 (1992);MH28
Secret of Monkey Island, The (1990);mi1
Monkey Island 2 - LeChuck's Revenge (1991);mi2
Miami Vice (1989);MiamiVic
MicroLeague Baseball (1984);micbbll
MicroLeague Baseball 2 (1989);micbbll2
MicroLeague Baseball - The Manager's Challenge (1991);micbbllM
Mice Maze (1996);micemaze
Mice Men (1995);micemen
Mice Moves (1994);micemove
Michael Jordan in Flight (1993);MichaelJ
Michel Futbol Master + Super Skills (1989);MichelFu
Mick (1994);Mick1989
Mickey's ABC - A Day at the Fair (1992);mickabc
Mickey's Colors & Shapes (1991);MickCol
Mickey's Crossword Puzzle Maker (1991);MickCros
Mickey's Space Adventure (1986);mickeysa
Mickey's Jigsaw Puzzles (1991);MickeysJ
Mickey's Memory Challenge (1990);MickeysM
Mickey's Runaway Zoo (1991);MickeysR
Mickey's 123's - The Big Surprise Party (1993);Micky123
Microcosm (1994);MicrCos
Micro$oft Simulator (1994);Micro$of
Micro Bucks II (1993);MicroBuc
MicroLeague Baseball IV (1992);MicroLB4
MicroLeague Football - The Coach's Challenge (Deluxe Edition) (1992);MicroLea
MicroLeague Football 2 (1993);MicroLF2
Micro Machines 2 - Turbo Tournament (1995);MicroMa2
Micro Machines (1994);MicroMac
Micropede (1994);Microped
Microprose Pro Soccer (1989);MicroPS
Microsoft Decathlon (1982);Microsof
Microsurgeon (1984);Microsur
Midway Campaign (1983);MidwayCa
Midway - The Battle that Doomed Japan (1989);MidwayT
Midwinter (1990);Midwinte
MiG-29 Fulcrum (1990);MiG-29Fu
MiG-29M Super Fulcrum (1991);MiG-29MS
MiG-29 - Deadly Adversary of Falcon 3.0 (1993);mig29daF
Mighty Bombjack (1990);MightyBo
Mike Ditka Ultimate Football (1991);MikeDitk
Mike Gunner (1988);MikeGunn
Mission Impossible (1991);mikona
Millennia - Altered Destinies (1995);MillAlDe
Mille Bornes (1989);MilleBor
Millennium - Return to Earth (1989);Millenni
Millionaire - The Stock Market Simulation (Release 2) (1987);Milliona
Millionaire - The Stock Market Simulation (1982);MillSMS
Milo the Fuel Run (1997);MilotheF
Milva (1993);Milva93
Mimi and The Mites (1995);MimiTheM
Mindbender (1990);Mindbend
Mind Castle I (1991);mindc1
Mind Castle II (1991);mindc2
Mind Castle (1993);MindCast
Mindcube (1990);mindcube
Mind Dance Vol. II (1986);MindDnc2
Mindfighter (1988);mindfite
Mind Prober (1984);MindProb
Mind-Roll (1988);MindRol
Mindshadow (1984);mindshad
Mind Forever Voyaging, A (1985);mindvoy
Mindwheel (1984);mindwhel
Mine Bombers (1996);MineBomb
Miner 2049er (1983);Miner204
Mines (2006);Mines06
Mine Shaft (1983);MineShaf
Minesweeper (1991);MineSwep
Mini-Putt (1987);Mini-Put
Mino's Adventure (1997);MinosAdv
Minotavrs (1991);Minotavr
MinerVGA (1989);MinVGA89
Mirage Thunder (1993);MirageT
Miramar, Jet Fighter Simulator (1990);MiramarJ
Miser's House, The (1981);miserhou
Maupiti Island (1990);misland
Missing Dots Matrix (1991);MissingD
Mission (1987);Mission
Mission Mopreme 32K (1997);MissM32x
Mission - Mainframe (1987);missmain
Mission Maze (1991);MissMaze
Mission Pom-Baer (1997);MissPom
Missle Strike (1982);MissStri
Mission UFO (1992);MissUFO
Mister Fruit Joy (1995);MisterFJ
Mahjong for One (1992);MJfor1
Mah Jongg LapTop (1989);MJonggLT
Mah Jongg -V-G-A- (1990);MJongVGA
Mah Jongg Solitaire (1987);mjsoli
Mortal Kombat (1993);MK
Mortal Kombat II (1994);MK2
Mortal Kombat 3 (1995);MK3
Mortal Kombat Trilogy (1997);MKTril
MLabyrinth (1993);mlab93
Monster Land (1998);MLand
MicroLeague Football - The Coach's Challenge (1990);MLFtCC
Major League Manager (1986);mlmana
MicroLink Push Your Luck (1990);MLPYL
MicroLink Shut the Box (1989);MLStB
MicroLeague Wrestling (1989);MLWrest
MicroLink Yaht (1987);MLYaht
Might and Magic - Book 1 (1986);MM1
MasterMind (1987);mm1987
Might and Magic 2 - Gates to Another World (1988);MM2
Might and Magic 3 - Isles of Terra (1991);MM3
Might and Magic 4 - Clouds of Xeen (1992);MM4
Might and Magic 5 - Darkside of Xeen (1993);MM5
Might and Magic 4+5 - World of Xeen (1994);MM6
Might and Magic - Swords of Xeen (1995);MM7
Maniac Mansion (1987);MMansion
Mystery Master - Felony! (1984);MMFelony
Mystery Master - Murder by the Dozen (1983);MMMurdD
Moraff's Monster Bridge (1992);MMonBri
Microsoft Mouse (included game) (1989);Mmouse
Modem Wars (1988);ModemWar
Moebius - The Orb of Celestial Harmony (1987);moebius
Misadventure of the Holy Grail, The (1989);MoHGrail
Mojing Da Maoxian (1995);MojingDa
Mole (1994);Mole94
Molefest (2002);MoleFest
MoleZ (1997);MoleZ
Money Bags Beat the Gnome of Zurich (1988);MoneyBag
Monika's Tic Tac Toe (2006);MonikaTT
Monkey Business (1986);MonkeyBu
Monmallineun Tarokbeom (1996);Monmalli
Mono (1992);Mono1992
Monopoly (1985);Monop85
Monopoly 1985 (1985);Monop852
Monopoly Deluxe (1992);MonopDLX
Mono Space (1997);MonoSpac
Monsoon (2005);monsoon
Monster Bash (1993);MonsterB
Monster Math (1983);MonsterM
Monte Carlo Baccarat (1991);MonteCar
Montezuma's Return (1997);MonteRet
Montezuma's Revenge (1984);MonteRev
Monty on the Norm (2001);MontyNrm
Monty Python's Flying Circus (1990);MontyPyt
Monuments of Mars (1991);Monument
Moonstone - A Hard Days Knight (1992);moonahdk
Moonbase (1990);Moonbase
Moon Blaster (1990);MoonBlas
Moon Bugs (1983);MoonBugs
Moonmist (1986);moonmist
Moon Mountain Adventure (1987);MoonMoun
Moon Patrol (1983);MoonPatr
Moonshine Racers (1991);Moonshin
Moonwalker (1989);Moonwalk
Moptown Parade (1984);MoptownP
Moraff's Entrap (1991);MoraEntr
Moraffs World Beginner's Version (1993);morafbv
Moraff's Blast I (1991);MoraffsB
Moraff's Morejongg (1992);MorafMJ
Moraff's Monster Memory (1992);MorafMM
Moraffs Revenge (1988);morafrev
Moraffs World (1991);morafwor
Moraff's Stones (1992);MoraSton
Moraff's Tempt-Tris (1993);MoraTris
Mordred Manor (1991);MordredM
Moria (1992);moria
Morkin 2 (1992);morkin2
Affaire Morlov, L' (1995);morlov
Mortadelo y Filemon II (1989);Mortadel
Mortal Coil - Adrenalin Intelligence (1995);MortalCo
Mortville Manor (1988);MortMano
Moses - Old Testament Adventure 1 (1987);MosesAdv
Moses Matchup (1994);MosesMat
Most Certainly Not Pool II (1994);MostCer
MOT (1989);MOT
Match of the Day Bundesliga (1994);MotDBund
Motocross (1989);Motocros
Motor-Mania (1989);MotoMani
Motorbike Madness (1988);Motorbik
Motor City (1994);MotorCit
Motor Mash (1998);MotorMa
Mountain Bike Racer (1990);MounBR
Mouser (1983);Mouser
Move It II (1993);MoveIt2
Movies Trivia (1992);MoviTriv
Mozaik (1993);Mozaik93
Moraff's Pinball (1989);Mpinball
Mortal Pong (1995);Mpong
Mr. Blobby (1994);MrBlobby
Mr. Boom (1999);MrBoom
Mr. Cool (1983);MrCool
Mr. Muncher (1992);MrMunch
Mr Pacford (1994);MrPacfrd
Mr. Pibb (1998);MrPibb
Mr. Tomato (1997);MrToma
Microsoft Adventure (1981);msadv
Missile Attack (1990);MsAtk90
Microsoft Flight Simulator (v1.0) (1982);MSFlght
Microsoft Flight Simulator (v2.0) (1984);MSFlght2
Microsoft Flight Simulator (v3.0) (1988);MSFlght3
Microsoft Flight Simulator (v4.0) (1989);MSFlght4
Microsoft Flight Simulator (v5.1) (1993);MSFlght5
MsiBamba Shel Bamba (1996);MsiBamba
Ms. Pac-Man (1983);MsPacMa
Ms Pac PC (1995);MsPacPC
Microsoft Space Simulator (1994);MSSpace
Mister Gas (1989);MsterGas
Mean Streets (1989);mstreets
Muck Men from MARS! (1991);MuckMen
M.U.D.S. - Mean Ugly Dirty Sport (1990);MUDS-Mea
Mixed-Up Fairy Tales (1991);mufairy
Mundial de Futbol (1990);MUFutbol
Mixed-Up Mother Goose (1991);mugoose
Mixed-Up Mother Goose (1987);mugoose1
Mixed-Up Mother Goose (1990);mugoose2
MULE (1983);mule
Multiplex (2007);Multiplx
Mummies (1986);Mummies
Mumsaren (1995);Mumsaren
Munch Guy (1991);MunchGuy
Mundial de Italia (1990);Mundial
Monsters of Murdac (1987);murdac
Murder on the Atlantic (1988);murdatla
Murder Club (1991);murdclub
Murder! (1991);murder!
Murder Cruise (1989);MurderCr
Murder Makes Strange Deadfellows (1991);murderdf
Murder in the Marching Band (1989);MurdMB
Murders in Space (1990);murdspac
Murder on Violet Island (1991);MurdVI
Murder on the Zinderneuf (1984);murdzind
Murder in the Museum (1988);MurMuse
Murders in Venice (1989);murven
Muscle Pete's Spell Off (1994);MuscPete
Museum Madness (1994);MuseumMa
Mushroom Mania (1987);Mushroom
Mustang (1991);Mustang
Mutant Invasion (1987);MutanInv
Mutanoid Math Challenge, The (1991);mutanoiM
Mutanoid Word Challenge, The (1992);mutanoiW
Mutant Penguins (1996);MutantPe
Mutan Zone (1988);MutanZon
Mutant Earth (1997);MutEarth
Mutant DNA (1996);MutntDNA
Muzzle Velocity (1996);MuzzleVe
MVP Bridge (1994);MVPBridg
MechWarrior (1989);mwarrior
Make Your ADOM (2001);myAdom
MYCHESS (1984);MYCHESS
My Friend Koo (1995);mykoo
My Love (1996);MyLove
MyMan (2000);MyMan
My Math Tutor (1993);MyMath
Make Your Own Murder Party (1986);MYOMP
My Own Stories (1993);MyOwnSt
Mystery of Plastic City Part II, The (1996);MyPlasti
Mystery of the Mummy (1991);mysmummy
Mysterious Adventure No. 10 - Ten Little Indians (1983);MystAd10
Mysterious Adventure No. 11 - Waxworks (1983);MystAd11
Mysterious Adventure No. 1 - The Golden Baton (1981);MystAdv1
Mysterious Adventure No. 2 - The Time Machine (1981);MystAdv2
Mysterious Adventure No. 3 - Arrow of Death Part 1 (1981);MystAdv3
Mysterious Adventure No. 4 - Arrow of Death Part 2 (1982);MystAdv4
Mysterious Adventure No. 5 - Escape from Pulsar 7 (1983);MystAdv5
Mysterious Adventure No. 6 - Circus (1982);MystAdv6
Mysterious Adventure No. 7 - Feasibility Experiment (1983);MystAdv7
Mysterious Adventure No. 8 - The Wizard of Akyrz (1983);MystAdv8
Mysterious Adventure No. 9 - Perseus and Andromeda (1983);MystAdv9
Mystical (1990);Mystical
Mystery Mansion (2001);mystmans
Mystic Midway - Phantom Express (1993);MystMidP
Mystic Midway - Rest in Pieces (1994);MystMidR
Mystery at the Museums (1993);mystmus
Mysterious Song (2000);mystsong
Mystic Towers (1994);mysttow
Mysterious Worlds (1992);MystWorl
My Tennis (1980);MyTennis
Myth (1989);mythmag
MythMaster - A Vagabond's Adventure (1991);MythMast
Mythos (1990);Mythos
Nahlakh (1994);nahlakh
NAM (1998);NAM
'Nam 1965-1975 (1991);nam6575
Napion 3D (1999);Napion3D
Napoleon in Russia - Borodino 1812 (1988);Napoleon
Narco Police (1990);NarcoPol
NASCAR Racing (1994);NASCAR
NASCAR Racing 2 (1996);NASCAR2
NashuaMan (1995);NashuaMn
National Lampoon's Chess Maniac 5 Billion and 1 (1993);National
Nations and Capitals (198x);Nations
Navcom 6 The Persian Gulf Defense (1988);Navcom6T
Naves (1990);Naves90
Navjet (1990);Navjet
Navy Moves (1990);NavyMove
Navy Seal (1989);NavySeal
Navy Strike (1995);NavyStri
NBA Jam Tournament Edition (1995);NBAJamTo
NBA Live 95 (1995);NBALiv95
NBA Live 96 (1996);NBALiv96
NBA Live 97 (1996);NBALive9
NCAA Championship Basketball (1996);NCAACham
NCAA - Road to the Final Four (1991);NCAARoad
NCAA - Road to the Final Four 2 (1994);NCAARod2
NCR Golf (1985);NCRGolf
Noughts & Crosses (2005);NCross
Nebula Fighter (1997);NebFite
Nebula (1986);nebula
Necromantic (1996);Necroman
Nectar of the Gods (1987);NectarG
Nectaris (1995);Nectaris
Nigger in the Wonderland (1995);negwond
Nemesis - The Wizardry Adventure (1996);nemesisw
NeoHunter (1996);neohuntr
Nephis Quest (1990);nephi
Nerm of Bemer (1984);NermBem
Nerves of Steel (1995);Nervesof
NetHack (1987);nethack
NetHack Plus (1994);NetHack+
NetHack-- (1992);NetHack-
Netherworld (1990);Netherwo
NetRunner (1992);NetRuner
NetWars (1993);NetWars
Network Q RAC Rally (1994);NetworkQ
NET Zone (1996);netzone
Neuromancer (1988);Neuro
Never Mind (1989);NeverMin
Neverwinter Nights (1991);nevewint
New Dash Dimension, The (1995);NewDash
NewTrek (1982);NewTrek
New Year's Mystery (2007);newyears
NFL (1992);NFL
NFL 94 (1993);NFL94
NFL Challenge (1985);NFLChall
NFL Coaches Club Football (1993);NFLCoac
NFL Pro League Football (1995);NFLPLF
NFL Pro League Football (1989);nflplf89
NFL Pro League Football (1991 edition) (1991);NFLPLF91
NFL Quarterback Club 96 (1995);NFLQBC96
NFL Quarterback Club 97 (1996);NFLQBC97
NFL Video Pro Football (1994);NFLVideo
NHL '94 (1993);NHL94
NHL 95 (1994);NHL95
NHL 96 (1995);NHL96
NHL 97 (1996);NHL97
Nibbles (1991);nibbles
Nickelodeon Director's Lab (1994);NickDLAB
Nick Faldo's Championship Golf (1993);NickFald
Nicky 2 (1993);Nicky2
Nicky Boom (1992);NickyBoo
Nicolausi (1995);Nicolaus
Nigel Mansell's World Championship (1993);NigelMan
Night (1998);Night98
Night Bomber (1988);NightBom
NightHunter (1988);NightHun
Night Mission Pinball (v3.0) (1988);NightMis
Night Raid (1992);NightRai
Night Shift (1990);NightShi
Night Stalker (1983);NightSt
Nihilist (1996);Nihilist
Nine (1994);nine94
Ninja (1986);Ninja
Ninja Gaiden II - The Dark Sword of Chaos (1991);NinjaGa2
Ninja Gaiden (1990);NinjaGai
Ninja Rabbits (1993);NinjaRab
Nippon Safes Inc (1992);nippon
NIRA Intense Import Drag Racing (1999);NIRA
Nirvana (1989);nirvana
Clive Barker's Nightbreed - The Interactive Movie (1990);nitebred
Night Fire (1986);NiteFire
Night of the Hermit (2001);niteherm
Nitemare-3D (1994);Nitemar
Nitro Racers (1997);NitroRac
Nmongo Bongo (1991);Nmongo
Another Lifeless Planet and Me With No Beer (1991);nobeer
Nobunaga's Ambition (1988);NobuAmb
Nobunaga's Ambition II (1989);NobuAmb2
Noctis (2001);noctis
Noctropolis (1994);noctrop
Noddy's Playtime (1992);NoddyPly
No Exit (1990);NoExit
No Future (1996);NoFuture
Nogginknockers (1993);Noggink
Nogginknockers 2 (1996);Nogginkn
No Greater Glory - The American Civil War (1991);NoGreate
Nomad (1993);Nomad93
Nomon (1989);Nomon
Nord and Bert Couldn't Make Head or Tail of It (1987);nordbert
Normality (1996);NORMAL
Norse by Norse West - The Return of the Lost Vikings (1997);NorsebyN
North & South (1990);NorthSo
Notrus (1992);Notrus92
Notyet (1996);Notyet
Dungeons of Noudar 3D (2018);Noudar3D
Nova 9 - Return of Gir Draxon (1991);Nova9Ret
Novalight Tetris (1995);Novaligh
Novastorm (1994);Novastor
Novatron (1982);Novatron
Now You See It (1990);NowYouSe
Night Trap (1994);ntrap
Nuclear Sub Adventure (1987);NuclearS
Nuclear War (1989);NuclearW
Nuclear Bowls (1990);NukeBowl
Number Fun 1 (1986);NumberF
Numbers and Logic (1991);NumbLogi
Number Munchers (1990);NumbMunc
Numero 10 (1987);Numer10
NumJump (2017);NumJump
Numlo (1993);numlo
Nurmans (1994);nurmans
Nyet (1988);Nyet
Nyet 3 - The Revenge of the Mutant Stones (1993);Nyet3Th
NY Warriors (1991);NYWarrio
Oberon 69 (1990);Oberon69
Obitus (1991);obitus
Objection! (1992);Objectio
Obliterator (1996);Oblit96
Obliterator (1989);Oblitera
Original Buck Mann's Poker for One, The (1983);OBMPfO
Ocean Battle (2007);ocbatt
Ocean Ranger (1988);OceanRan
Ocean Trader (1995);OceanTra
Oddworld - Abe's Oddysee (1997);Oddworld
On Disk Monthly's Circuitry (1992);ODMCirc
Trials of Odysseus Kent, The (2002);odykent
Offensive (1996);Offensiv
Offroad (1988);Offroad
Off Shore Warrior (1988);OffShore
Ogre (1986);Ogre86
Oil Barons (1992);oilbar92
Oil Barons (1983);OilBaron
Oil Cap (1996);oilcap
Oilmania (1990);Oilmania
Oil's Well (1990);OilsWell
Oil's Well (1984);OilsWllP
Old Gold (1995);OldGold
Old Time Baseball (1995);OldTimeB
Oligopoly (1987);Oligopol
Olimpiadas 92 - Gimnasia Deportiva (1992);OlimG92
Olimpiadas 92 - Atletismo (1992);Olimpiad
Oliver & Company (1989);OliverCo
Olmang Jolmang Paradise (1995);OlmangJo
Olympic Games Atlanta 1996 (1996);OlympicG
Olympic Soccer (1996);OlympicS
Omar Sharif on Bridge (1991);OmarShar
Omega (1989);Omega
Omega (1988);OmegaAd
Omega War! (1989);OmegaWar
Omni-Play Basketball (1990);Omni-Pla
Omnicron Conspiracy (1989);omnicron
Omni-Play Horse Racing (1989);OmniHor
Once and Future (1998);oncefutr
One-Nil Soccer Manager (1992);One-NilS
One-on-One (1984);One-on-O
One Hundred and One Monochrome Mazes (1983);OneHund
One Must Fall 2097 (1994);OneMustF
Onesimus - A Quest for Freedom (1992);Onesimus
One Step Beyond (1993);OneStepB
ONSIDE Complete Soccer (1996);ONSIDECo
Onslaught (1990);Onslaugh
OnTarget (1992);OnTarget
On the Ball - World Cup Edition (1993);OntheBal
Ooze - Creepy Nites (1989);ooze
Operation - Airlift (1988);OpAirlif
Operation AirStorm (1994);OpAirSto
Operation Body Count (1994);OpBodyC
Operation Combat II - By Land, Sea, & Air (1993);OpC2LSA
Operation Carnage (1996);OpCarna
Operation Cleaner (1998);OpCleanr
Operation - Cleanstreets (1988);OpCleanS
Operation Combat (1990);opcombat
Operation Crusader (1994);OpCrusad
Operacion Cyborg (1989);Operacio
Operation Europe - Path to Victory 1939-45 (1994);OpEuroPV
Operation Frog (1992);opfrog
Operation Harrier (1990);OpHarr
Operation Just Because (1995);OpJuBec
Operation Market Garden - Drive on Arnhem, September 1944 (1985);OpMarkG
OPong (1996);Opong
Operation - Overkill II (1990);opover2
Operation Spacehog (2000);OpSpceHg
Operation Vulture (1992);OPV1
Operation Vulture III - Cyber Chopper (1995);OPV3CC
Operation Wolf (1989);OpWolf
Orbital Observatory Adventure, The (1988);OrbitalO
Orbiter (1986);Orbiter
Orbits Voyage Through the Solar System (1994);Orbits
Orda - Severnyi Veter (1999);OrdaSV99
Oregon Trail, The (1990);oregont
Oregon Trail Deluxe, The (1992);oregontd
Orel Hershiser's Strike Zone (1989);OrelHers
Original Adventure, The (1982);OrigAdv
Origamo (1994);Origamo
Original Mulan, The (1998);origmula
Orion Conspiracy, The (1995);orionc
Orion Odyssey - The Search for the Magic Ankh (1991);OrionOdy
Ortomania (1994);Ortomani
Ortotris (1992);Ortotris
Osarium (1998);Osarium
Osbit (1988);Osbit88
Oscar (1994);Oscar
Osiris (1993);Osiris
Osmosis Solitaire (1988);OsmSol88
James Bond 007 - The Stealth Affair (1990);ostealth
On The Seventh Day (1992);Ot7thD
On the Ball (1993);OTB
Othello (1982);Othell82
Othello (1988);Othell88
Othello (1990);Othell90
Once Upon a Time... Volume I - Passport to Discovery (1990);OUAT1
Once Upon a Time... Volume II - Worlds of Enchantment (1990);OUAT2
Once Upon a Time... Volume III - Journey Through Time (1990);OUAT3
Once Upon A Time - Abracadabra (1991);ouatabc
Once Upon a Time - Baba Yaga (1991);ouatbaba
Oubliette (1983);oubliet
Outer Ridge (1995);OuterRid
OutFox (1989);OutFox89
Outlaw 1997 (1994);Outlaw97
Out 'M' Up (2000);OutMUp
Out of This World (1991);OutofThi
Out on a LEM (1984);Outona
OutRun (1989);OutRun
Overdrive (1995);Overdriv
OverHeat (1997);OverHeat
OverKill (1992);Overki92
Overkill (1996);Overki96
Overlord (1990);Overlord
Overlord Maniac Car (1997);OverMC
Over the Net (1991);OvertheN
Ovni (1991);Ovni
Overlord (1994);ovrlrd94
Oxide (1998);Oxide
Oxyd 2 (1995);Oxyd2
Oxyd (1992);Oxyd92
Oxyd Extra (1994);OxydExtr
Oxyd magnum! Gold (1998);OxydGold
Oxyd magnum! (1993);OxydMag
P (2013);P
P-47 Freedom Fighter (1993);P47FF
P47 Thunderbolt (1990);P47Thund
Pac-Maine (1988);Pac-Main
Pac (1992);Pac1992
Pac 2000 (1996);Pac2000
Pac-Gal (1982);PacGal
Pachisi (1989);Pachisi
Pacific Islands (1992);PacificI
Pacific Strike (1994);PacificS
Pac-in-Time (1994);Pacin-T
Packman (1983);Packman
Packamaze (1995);Packmaze
Pac-Man (1983);PacMan
Pac Man (1982);PacMan82
Pacmania (1990);PacMania
PacMat (1990);PacMat
Pac PC (1995);PacPC95
Pac PC II (1995);PacPCII
PacWorm (1982);PacWorm
Paddle, The (2002);Paddle02
Paddlers (1996);Paddlers
Paganitzu (1991);Paganitz
Paintman (1995);paintman
Pairs (1992);Pairs92
Pako (1994);Pako
Pako 2 (1995);Pako2
Paku Paku (2011);PakuPak
Palace Adventure (1987);PalaceAd
Paladin II (1992);PaladinI
Paladin (1988);PaladinQ
Pallanda (1991);Pallanda
Panda Go Home (1996);PandaGH
Pandora Directive, The (1996);pandora
Pang (1992);Pang
Pangea - Return to Planet Earth (1993);PangeaRE
Pango (1983);Pango
Panic! (2002);Panic02
Panic Soldier (1997);PanicSol
Panoplia - The Full Armor of God (1991);panoplia
Panthers in the Shadows (1997);Panthers
Panza Kick Boxing (1990);PanzaKic
Panzer Battles (1990);PanzerBa
Panzer General (1994);PanzerGe
Paperboy 2 (1991);Paperbo2
Paperboy (1988);Paperboy
Paper Airplane (1993);PaprAir
Papu's Odyssey (1993);papuody
Paragliding (1991);Paraglid
PARAGON (1991);PARAGON
Paranormal Investigation (2001);ParaInve
Paranoia (1993);paranoia
Paranoid (1993);Paranoid
Paratrooper II (1999);Paratro2
Paratrooper (1982);Paratroo
Paris-Dakar (1988);Paris-Da
Paris Dakar 1990 (1990);ParisDak
Parsec Man 3D (1994);Parsec3D
Perfect Assassin (1997);passass
Passengers on the Wind (1989);passen1
Passengers on the Wind II (1987);PassWin2
Patriot Command (1992);PatComm
Patriot (1993);Patriot
Patton Strikes Back - The Battle of the Bulge (1991);PattonSt
Patton vs. Rommel (1987);Pattonvs
Paul's First Journey (1992);Pauls1st
Pawn, The (1986);pawn
Pinball Arcade (1994);PBArc94
Positronic Bridge (1994);pbridge
PaybackTime 2 (1997);PBTime2
Pinball Wizard 2000 (1995);PBWiz2k
PC-Bakterien! (1993);PCBakte
PC Basket (1993);PCBask1
PC Basket 2.0 (1994);PCBask2
PC Basket 3.0 (1995);PCBask3
PC Basket 4.5 (1996);PCBask4
PC Bert (1997);PCBert
PCBOWL - Electron Lanes (1986);PCBOWL-E
PC-Darts (1987);PCDarts
PC-Fender (1989);PCFende
PC Futbol (1993);PCFutB1
PC Futbol 3.0 (1994);PCFutB3
PC Futbol 4.0 (1995);PCFutB4
PC Futbol 5.0 (1996);PCFutB5
PC Seleccion Espanola de Futbol Eurocopa '96 (1996);PCFutB96
PC-Gammon (1992);PCGammon
PC Gol (1993);PCGol
PChallenge (1982);PChall82
PowerChess (1989);PChess89
PC Jigsaw (1988);PCJigSw
PC-Man (1982);PCMan
Pac-Man (1982);PcMn1982
PC-Monopoly (1989);PCMono
PC Pillbox (1985);PCPillBx
PC Pool (1984);pcpool84
PC Pool Challenges (1984);pcpoolch
PC Rally (1995);PCRally
PC-Sherlock - A Game of Logic & Deduction (1996);PCSherl
PC-Tennis (1991);PcTenn91
PCTris (1996);PCTris
Purple Dinosaur Massacre (1994);PDinoM
Peach's Dream (1999);PeachDrm
Peach the Lobster (1994);Peachthe
Pearl Harbor (1988);PearlH88
Pea Shootin' Pete (1994);PeaShoot
Pee & Gity (1994);PeeGity
Pee & Gity Special (1994);PeeGityS
Peg Solitaire (1990);PegSolit
Pekka Kana (1998);PekaKana
Penguin Tower (1997);PengTowe
Pentari - First Light (2003);pentari
Pente (1986);Pente86
Pentix (1986);Pentix
Pepper's Adventures in Time (1993);pepper
Perdition's Gate (1996);Perditio
Perfect Flight Deluxe - Great Britain (1998);Perfect
Perfect General II (1994);PerfectG
Perfect General, The (1991);PerfGen
Perfect Worlds (1995);PerfWorl
Perico Delgado Maillot Amarillo (1989);perico
Perils of Treasure Mountain (2017);PeriloTM
Permanent Daylight (2001);permday
Pete Rose Pennant Fever (1988);PeteRose
Peter Pan - A Story Painting Adventure (1993);PeterPan
Pete Sampras Tennis 97 (1997);PeteSamp
Petris (1991);Petris91
Pirate Fry and Volcano Island (2001);pfryvolc
PGA Tour Golf 486 (1994);PGA486
PGA European Tour (1995);PGAEurop
PGA Tour 96 (1995);PGATour9
PGA Tour Golf (1990);PGATourG
Phagefight (1992);phagfite
Phantasmagoria 2 - A Puzzle of the Flesh (1996);phantas2
Phantasie 3 - The Wrath of Nikademus (1988);phantas3
Phantasie (1987);phantasi
Phantasmagoria (1995);Phantasm
Phantom's Revenge, The (1982);phantre
Phantasm (1988);Phantsm
Pharaoh's Revenge (1988);Pharaohs
Pharaoh's Tomb (1990);PharaohT
Phase2 (1998);Phase2
Plundered Hearts (1987);phearts
Philosopher's Quest (1982);philos
Penthouse - Electric Jigsaw (1991);phjigsaw
PHM Pegasus (1988);PHMPegas
Penthouse - Hot Numbers (1992);phnumb
Penthouse - Hot Numbers Deluxe (1993);phnumbdx
Phobos '99 (1994);Phobos
Leather Goddesses of Phobos (1986);phobos1
Phoenix Fire (1993);PhoenixF
Photopia (1998);photopia
Phrase Master (1990);PhraseMa
Phylox (1992);Phylox
Prisoner of Ice (1995);pice
Pickle Wars (1994);PickleWa
Pick 'n Pile (1990);PicknPi
Picture Puzzle (1991);PicPuz91
Pictionary - The Game of Quick Draw (1989);Pictiona
