$100,000 Pyramid (1988);$100000P
Antagony (1995);Antagony
Ant Attack (1994);AntAtta
Ant Attack PC (2000);AntAttk
Ante-Up at The Friday Night Poker Club (1990);Ante-Upa
Anti-Ballistic-Missile (1982);AntiBal
AntiC (1991);AntiC91
AntiXonix (1985);antixoni
Antkill (1992);antkill
Ant Man (1995);AntMan
Ant Run (1993);antrun
Anvil of Dawn (1995);anvldawn
Adventures of Alice who Went Through the Looking-Glass and Came Back Though Not Much Changed, The (1986);aoalice
Aftermath of the Asimovian Disaster (1983);AofAD
Apachacha (1993);Apachach
Apache (1995);Apache
Apache Strike (1989);ApacheSt
APB (1989);APB
Apocalypse Cow (1996);Apocalyp
Apocalyptic Quest (2003);apocques
Apollo 18 Mission to the Moon (1988);Apollo18
Apple Panic (1982);ApplePan
Apples & Oranges (1990);apploran
Beneath Apple Manor (1978);appman
Temple of Apshai Trilogy (1982);apshai
Arnold Palmer Tournament Golf (1990);APTGolf
A Question of Sport (1988);AQSport
Aqua Man (1993);AquaMan
Aquanoid (1992);Aquanoid
Aquaphobia (1992);aquaphob
Aquarius - An Aquatic Experience (2007);Aquarius
Quick Run Around the House, A (1991);AQuickRu
Arachnophobia (1991);Arachnop
Arcade 2 (1992);Arcade2
Arcade Bonanza (1987);ArcadeBo
Arcade Fruit Machine (1992);ArcadeFr
Arcade Pool (1994);ArcadePo
Arcade Volleyball (1987);ArcadeVo
Arcanoid (1991);Arcanoid
Archeodroid (1985);Archdroi
Archer Maclean's Pool (1992);ArcherMa
Archery (1985);archery
Archibald Applebrook's Abenteuer (1995);archibal
Archimedean Dynasty (1996);Archimed
Archipelagos (1989);archipel
Archon (1984);archon
Archon Ultra (1994);archonul
Arctic Adventure (1991);ArcticAd
Arcticfox (1987);Arcticfo
Arctic Moves (1995);ArcticMo
Arcade Trivia Quiz (1989);arctriv
Arcy 2 (1994);arcy2
Argh (1989);Argh1989
Argo Checkers (1993);argochek
Argonaut (1992);Argonaut
Ario Bros (1983);ArioBros
Arithmetic Games Set 1 (1981);arithgs1
Arithmetic Games Set 2 (1981);arithgs2
Ariva (1992);ariva
ARK (1988);Ark88
Arka (1993);Arka93
Arkanoid II - Revenge of Doh (1989);Arkanoi2
Arkanoid (1988);Arkanoid
Ar'Kritz the Intruder (1996);ArKritzt
Ark of Time (1997);arktime
ARL 96 (1996);ARL96
Armada (1992);armad92
Armada (1989);armada
Armada 2525 (1991);armada25
Armaeth - The Lost Kingdom (1993);armaeth
Armored Fist 2 (1997);ArmFist2
Armor Alley (1991);armoall
Armour-Geddon (1992);armogedd
Armored Moon - The Next Eden (1998);armomoon
Armored Fist (1994);ArmoredF
Armorik the Viking - The Eight Conquests (1988);Armorik
Army (1989);Army
Army Moves (1989);ArmyMove
Arnhem - The 'Market Garden' Operation (1988);arnhem
Arnie 2 (1993);Arnie2
Aro (1996);Aro
Aro and Elmi Fighting the Bacteria Gang (1996);AroElmi
Aro II (1997);AroII
Arrakis (2000);Arrakis
ARSENAL Taste the Power (1998);ARSENALP
Arthur - The Quest for Excalibur (1989);arthurqe
Arthur Yahtzee - The Curse of Hell's Cheesecake (2000);ArthurYa
Artillery (1982);Artill82
Artman's Goplanes! (1997);Artman97
Artura (1989);Artura
Around the World Trivia (1992);ArWorTri
Arya Vaiv (1994);AryaVaiv
Ascendancy (1995);ascendy
ASCII DOOM (1999);ASCIIDOO
Ascii Sector (2007);ascisec
Ashes of Empire (1993);ashempi
Asian Challenge, The (1989);AsianCha
Aspetra (1996);aspetra
Assault Rigs (1996);AssaultR
Assault Wing (1998);AssaultW
Asteroid Impact (1998);AssImpct
Assault Trooper (1997);AssTroop
Astatin (1992);Astatin
Asterix - Operation Getafix (1989);asterixg
Asterix & Obelix (1996);AsterixO
Asteroid Pilot (1982);AstPilot
Astrocounter of Crescents (1996);AstrCntr
Astro-Grover (1987);Astro-Gr
Astro3D (1997);Astro3D
Astro Blaster (1988);AstroBla
Astro-Dodge (1982);AstroDo
Astro Fire (1994);AstroFir
Astrorock (1996);Astrorck
Astrotit (1987);Astrotit
Asterix - Caesar's Challenge (1995);astxcc
Asylum (1985);Asylm285
Asylum (1991);asylumif
Authentic Taiwan Sixteen Mahjong (1994);AT16MJ
ATAC - The Secret War Against Drugs (1992);atacswad
At the Carnival (1990);atcarniv
Air Traffic Control (1988);ATCont
Adam the New Age Warrior in Time After Time (1994);AtNAWiTT
Atomia Akorny (1992);AtomiaAk
Atomino (1990);atomino
Atomix (1990);atomix
Atomic Tetris (1991);AtomTet
Attack (1982);Attack
Attack On Altair (1983);AttackOn
Around the World in 80 Days (1994);atwi80d
Austerlitz 1805 (1989);austerl
Austerlitz (1989);austerli
Autka (1997);Autka
Autobots (1989);Autobots
Autocrash (1991);Autocras
Autoduel (1988);autoduel
Automon (1990);Automon
AUTS - The Ultimate Stress Relief Game (1995);AUTSThe
AV8B Harrier Assault (1992);av8b
Avalon (1998);avalon
Lord Avalot (1994);avalot
Avenger (1997);Avenger
Averno (1989);averno
Avish! (1993);Avish!
Avoid the Noid (1989);Avoidthe
Avon (1989);avonif
Awe-Chasm, The (1991);AweChasm
Awesome Earl in SkateRock (1988);AwesomeE
Are We There Yet (1991);awty
Axe of Rage (1989);AxeofRag
Axia (1998);Axia
AxTrons (1989);AxTrons
Azrael's Tear (1996);AZRAEL
B-17 Flying Fortress (1992);B-17Flyi
B-1 Nuclear Bomber (1983);B-1Nucle
B-24 (1987);B-24
Baal (1989);Baal
Baseball (1983);BaBll83
Baby Jo in - Going Home (1991);BabyJoin
BabyType (1994);BabyType
Backgammon (1984);backgamm
Backlash - A Turret Gunner Simulation (1995);Backlash
Back to the Moon (1996);BackMoon
Backgammon Royale (1990);backroy
Back to Baghdad (1996);BacktoBa
BAD - Blasting, Annihilation & Destruction (1997);BAD97
Bad-Bad (1986);BadBad
Bad Blood (1990);BadBlood
Bad Dudes (1988);BadDudes
Bad_Machine (1998);badmachi
Bad Street Brawler (1987);BadStree
Bagasaurus (1988);Bagasaur
Bajoran Mercenary Adventure (1993);BajoranM
Balance (1993);Balance
Balance of the Planet (1990);Balanceo
Balance of Power (1985);BalaoPow
Baldies (1996);baldies
Baron Baldric - A Grave Overture (1992);BaldricO
Ball (1982);Ball
Ball Blazing Fantasy (2003);BallBlaz
Ball Breakers Corp. (1993);BallBrk
Ball Game, The (1991);ballgame
Ballistix (1989);Ballisti
Balloons (1994);Ballons
Balloon Challenge (1993);ballooch
Balloons (1996);Balloons
Balloonz (1993);balloonz
Ball Race (1988);ballrace
Balltris (1994);Balltris
Ballyhoo (1986);ballyhoo
BananaTron (1989);BananaTr
Bananoid (1989);Bananoid
Bannercatch (1984);BanCatch
Bandit (1986);Bandit
Bandits! (1992);Bandits
Bandit Kings of Ancient China (1989);bandking
Bandor - The Search for the Storm Giant King (1992);BandorSK
Bang (1994);Bang1994
Bango (1990);Bango90
BangWool (1995);BangWool
Bank Buster (1990);BankBust
Battle of Antietam (1986);bantietm
Banyon Wars, The (1990);BanynWar
Baoxiao Duobiqiu (1993);BaoxDuo
Bap!!! (1995);Bap
Barracuda - Secret Mission 1 (1992);baraSM1
Barbarian (1996);Barbar96
Barbarian (1989);Barbaria
Barbie (1992);Barbie
